4.620088540000000243e-01,1.727863360000000126e-01,9.653544299999999856e-02,4.670511629999999914e-01,1.390766009999999941e-01,7.363823819999999465e-01,1.372784109999999891e-01
3.783598049999999935e-01,2.395568000000000003e-02,1.427188980000000107e-01,5.900408200000000214e-01,3.921700229999999787e-01,9.360619209999999635e-01,7.220601730000000273e-01
2.447222689999999923e-01,4.117911470000000240e-01,8.426888860000000259e-01,3.354190129999999881e-01,1.352183959999999907e-01,7.815010019999999447e-01,4.193993770000000176e-01
9.822521880000000261e-01,1.282561090000000070e-01,4.024298609999999998e-01,7.445251170000000140e-01,2.929675110000000138e-01,9.366728690000000190e-01,5.081807739999999463e-01
1.919946999999999973e-03,5.611682550000000047e-01,5.082765259999999508e-01,8.301171000000000522e-01,5.736193450000000027e-01,1.504622730000000075e-01,2.284458950000000099e-01
6.660938090000000367e-01,3.510851499999999986e-02,7.890600290000000516e-01,2.040840939999999937e-01,5.555804850000000128e-01,9.267718160000000260e-01,4.351529100000000039e-01
7.832663300000000661e-02,7.235664960000000034e-01,2.585830250000000219e-01,6.846309820000000546e-01,3.988761780000000257e-01,5.666658249999999564e-01,5.367780370000000412e-01
5.943569520000000495e-01,2.895206499999999905e-02,1.506191540000000051e-01,8.020998529999999738e-01,5.539392220000000089e-01,1.959568560000000126e-01,1.249472969999999988e-01
9.526883640000000097e-01,1.118570009999999976e-01,8.169075869999999906e-01,7.776330150000000385e-01,6.052141130000000535e-01,5.543225799999999814e-02,7.937414430000000465e-01
8.578266359999999757e-01,3.223930700000000038e-01,9.227189340000000461e-01,5.394551000000000034e-03,3.608143309999999881e-01,7.766091059999999935e-01,2.984048710000000160e-01
